date,exposed,infected,recovered,death,susceptible
2020-02-24,94,221,1,7,771
2020-02-25,162,311,1,10,678
2020-02-26,221,385,3,12,600
2020-02-27,284,588,45,17,350
2020-02-28,412,821,46,21,112
2020-02-29,543,1049,50,29,-128
2020-03-01,798,1577,83,34,-694
2020-03-02,927,1835,149,52,-1036
2020-03-03,1000,2263,160,79,-1502
2020-03-04,1065,2706,276,107,-2089
2020-03-05,1155,3296,414,148,-2858
2020-03-06,1060,3916,523,197,-3636
2020-03-07,1843,5061,589,233,-4883
2020-03-08,2180,6387,622,366,-6375
2020-03-09,2936,7985,724,463,-8172
2020-03-10,2599,8514,1004,631,-9149
2020-03-11,3724,10590,1045,827,-11462
2020-03-12,5036,12839,1258,1016,-14113
2020-03-13,6201,14955,1439,1266,-16660
2020-03-14,7860,17750,1966,1441,-20157
2020-03-15,9268,20603,2335,1809,-23747
2020-03-16,10197,23073,2749,2158,-26980
2020-03-17,11108,26062,2941,2503,-30506
2020-03-18,12090,28710,4025,2978,-34713
2020-03-19,14935,33190,4440,3405,-40035
2020-03-20,19185,37860,5129,4032,-46021
2020-03-21,22116,42681,6072,4825,-52578
2020-03-22,23783,46638,7024,5476,-58138
2020-03-23,26522,50418,7432,6077,-62927
2020-03-24,28697,54030,8326,6820,-68176
2020-03-25,30920,57521,9362,7503,-73386
2020-03-26,33648,62013,10361,8165,-79539
2020-03-27,36653,66414,10950,9134,-85498
2020-03-28,39533,70065,12384,10023,-91472
2020-03-29,42588,73880,13030,10779,-96689
2020-03-30,43752,75528,14620,11591,-100739
2020-03-31,45420,77635,15729,12428,-104792
2020-04-01,48134,80572,16847,13155,-109574
2020-04-02,50456,83049,18278,13915,-114242
2020-04-03,52579,85388,19758,14681,-118827
2020-04-04,55270,88274,20996,15362,-123632
2020-04-05,58320,91246,21815,15887,-127948
2020-04-06,60313,93187,22837,16523,-131547
2020-04-07,61557,94067,24392,17127,-134586
2020-04-08,63084,95262,26491,17669,-138422
2020-04-09,64873,96877,28470,18279,-142626
2020-04-10,66534,98273,30455,18849,-146577
2020-04-11,68744,100269,32534,19468,-151271
2020-04-12,71063,102253,34211,19899,-155363
2020-04-13,72333,103616,35435,20465,-158516
2020-04-14,73094,104291,37130,21067,-161488
2020-04-15,74696,105418,38092,21645,-164155
2020-04-16,76778,106607,40164,22170,-167941
2020-04-17,78364,106962,42727,22745,-171434
2020-04-18,80031,107771,44927,23227,-174925
2020-04-19,80589,108257,47055,23660,-177972
2020-04-20,80758,108237,48877,24114,-180228
2020-04-21,81104,107709,51600,24648,-182957
2020-04-22,81510,107699,54543,25085,-186327
2020-04-23,81710,106848,57576,25549,-188973
2020-04-24,82286,106527,60498,25969,-191994
2020-04-25,82212,105847,63120,26384,-194351
2020-04-26,82722,106103,64928,26644,-196675
2020-04-27,83504,105813,66624,26977,-198414
2020-04-28,83619,105205,68941,27359,-200505
2020-04-29,83652,104657,71252,27682,-202591
2020-04-30,81708,101551,75945,27967,-204463
2020-05-01,81796,100943,78249,28236,-206428
2020-05-02,81808,100704,79914,28710,-208328
2020-05-03,81436,100179,81654,28884,-209717
2020-05-04,81678,99980,82879,29079,-210938
2020-05-05,80770,98467,85231,29315,-212013
2020-05-06,74426,91528,93245,29684,-213457
2020-05-07,73139,89624,96276,29958,-214858
2020-05-08,72157,87961,99023,30201,-216185
2020-05-09,69974,84842,103031,30395,-217268
2020-05-10,68679,83324,105186,30560,-218070
2020-05-11,67950,82488,106587,30739,-218814
2020-05-12,67449,81266,109039,30911,-220216
2020-05-13,65392,78457,112541,31106,-221104
2020-05-14,64132,76440,115288,31368,-222096
2020-05-15,60470,72070,120205,31610,-222885
2020-05-16,59012,70187,122810,31763,-223760
2020-05-17,57278,68351,125176,31908,-224435
2020-05-18,55597,66553,127326,32007,-224886
2020-05-19,54422,65129,129401,32169,-225699
2020-05-20,52452,62752,132282,32330,-226364
2020-05-21,51051,60960,134560,32486,-227006
2020-05-22,49770,59322,136720,32616,-227658
2020-05-23,48485,57752,138840,32735,-228327
2020-05-24,47428,56594,140479,32785,-228858
2020-05-25,46574,55300,141981,32877,-229158
2020-05-26,44504,52942,144658,32955,-229555
2020-05-27,42732,50966,147101,33072,-230139
2020-05-28,40118,47986,150604,33142,-230732
